CÓDIGO;NOMBRE DEL ALIMENTO;"Energía
<ENERC>";"Energía
<ENERC>";"Agua
<WATER>";"Proteínas
<PROCNT>";"Grasa 
total
<FAT>";"Carbohidratos
totales
<CHOCDF>";"Carbohidratos
disponibles
<CHOAVL>";"Fibra dietaria
<FIBTG>";"Cenizas
<ASH>";"Calcio
<CA>";"Fósforo
<P>";"Zinc
<ZN>";"Hierro
<FE>";"β caroteno
equivalentes
totales
<CARTBQ>";"Vitamina A 
equivalentes
totales
<VITA>";"Tiamina
<THIA>";"Riboflavina
<RIBF>";"Niacina
<NIA>";"Vitamina C
<VITC>";"Ácido 
fólico";"Sodio
<NA>";"Potasio
<K>"
;;kcal;kJ;g;g;g;g;g;g;g;mg;mg;mg;mg;µg;µg;mg;mg;mg;mg;µg;mg;mg
C50;Naranja de Guayaquil;31;132;88.6;0.5;0.2;10.2;7.8;2.4;0.5;37;17;0.07;0.1;-;11;0.05;0.01;0.14;42.2;-;-;-
C51;Naranja de Huando;36;152;87.3;1.2;0.2;10.9;8.5;2.4;0.4;30;17;0.07;0.1;-;11;0.06;0.02;0.29;43.9;-;-;-
C52;Níspero;41;170;86.5;0.3;0;12.7;11;1.7;0.5;21;16;0.05;0.3;-;76;0.02;0.11;0.37;1.2;-;-;-
C53;Nuzive;138;577;70.3;2.7;7.8;17.7;-;-;1.5;38;113;-;7.5;-;9;0.23;0.15;1.08;1.7;-;-;-
C54;Pacae o Guaba;56;234;84.1;0.6;0.1;14.8;-;-;0.4;14;30;-;0.4;-;0;0.02;0.07;0.5;1.4;-;-;-
C55;Palta;130;546;79.2;1.7;12.5;5.6;-;-;1;30;67;0.64;0.6;-;7;0.03;0.1;1.82;6.8;-;-;-
C56;Pan de árbol con semilla;117;489;63.4;4.5;1.8;29;24.1;4.9;1.3;20;255;0.12;0.9;-;0;0.22;0.09;2.6;6.6;-;-;-
C57;Pan de árbol sin semilla;30;124;86.4;1.6;0.5;10.5;5.6;4.9;1;71;37;0.12;2.8;-;0;0.07;0.08;0.78;2.1;-;-;-
C58;Pan-Meo;78;326;78;1.3;0.2;19.9;-;-;0.6;21;21;-;-;-;-;0.07;0.09;0.66;1.4;-;-;-
C59;Papaya;25;106;90.8;0.4;0.1;8.2;6.4;1.8;0.5;23;14;0.07;0.3;-;55;0.03;0.07;0.41;47.7;-;-;-
C60;Pasa sin pepa;228;953;31.6;2.4;0.4;63.8;60.1;3.7;1.8;64;91;0.22;3.7;-;0;0.12;0.13;0.37;2.3;-;-;-
C61;Pepino dulce;26;109;92.3;0.3;0;7;-;-;0.4;30;10;-;0.3;-;28;0.04;0.05;0.58;29.7;-;-;-
C62;Pera chilena;38;160;86;0.3;0.1;13.2;10.1;3.1;0.4;4;16;0.1;0.3;-;1;0.02;0.04;0.24;1.9;-;-;-
C63;Pera de agua;42;176;85.8;0.4;0.6;13;9.9;3.1;0.2;7;5;0.1;0.1;-;1;0.02;0.06;0.16;6.5;-;-;-
C64;Pera nacional;55;230;84.7;0.4;0.2;14.5;-;-;0.2;2;6;-;0.3;-;0;0.02;0.05;0.16;2.5;-;-;-
C65;Pera perilla;58;243;84.2;0.6;0.5;14.4;-;-;0.3;10;18;-;0.5;-;0;0.03;0.05;0.44;3.6;-;-;-
C66;Pero;50;211;85.4;0.4;0.7;13.3;12;1.3;0.2;6;9;0.05;0.3;-;2;0.05;0.07;0.11;2.8;-;-;-
C67;Pijuayo;184;770;52.3;2.8;3.2;41;-;-;0.7;27;47;-;1;-;140;0.05;0.28;1.38;22.6;-;-;-
C68;Pijuayo sancochado, sin cáscara y sin pepas;120;501;52.2;2.1;4;41;22.1;19;0.7;23;20;0.98;0.65;-;108;0.11;0.2;2.49;12.79;-;10;215
C69;Piña;33;139;89.3;0.4;0.2;9.8;8.4;1.4;0.3;10;5;0.1;0.4;-;3;0.04;0.06;0.27;19.9;-;-;-
C70;Plátano de isla;75;314;74.2;1.2;0.1;21.6;19.5;2.2;2.9;9;20;0.13;0.3;427;71;0.07;0.07;0.47;0;-;15;388
C71;Plátano de seda;74;309;76.2;1.5;0.3;21;18.4;2.6;1;5;27;0.15;0.6;-;3;0.03;0.05;0.79;4.3;-;-;-
C72;Plátano guineo;111;465;65.9;1.4;0.2;31.7;29.1;2.6;0.8;10;23;0.15;0.6;-;3;0.02;0.08;0.53;1.1;-;-;-
C73;Plátano manzano;80;336;74.3;1.1;0.2;23.4;20.8;2.6;1;6;47;0.15;0.8;-;3;0.04;0.16;0.6;7.3;-;-;-
C74;Plátano, harina de;302;1265;14;4;0.4;79.3;-;-;2.3;29;104;0.81;4.62;-;12;0.11;0.12;1.57;0.68;-;-;-
C75;Plátano maduro;103;431;68.1;1.2;0.2;29.6;27;2.6;0.9;0;37;0.15;0.4;-;3;0.06;0.06;0.5;5.6;-;-;-
C76;Plátano morado;97;405;69.8;1;0.2;28.1;25.5;2.6;0.9;42;17;0.15;0.3;-;3;-;0.25;0.68;2.3;-;-;-
C77;Plátano seco (orejón);232;972;24.5;3.7;1.2;68.2;58.3;9.9;2.4;26;84;0.61;-;-;12;0.05;0.18;1.4;1.8;-;-;-
C78;Plátano verde;144;602;57;1;0.2;40.9;38.6;2.3;0.9;8;43;0.14;0.5;-;56;0.09;0.14;0.62;10.4;-;-;-
C79;Plátano verde asado;243;1018;29.1;1.5;0.2;68;65.7;2.3;1.2;10;80;0.13;0.8;-;45;0.11;0.22;0.9;1.4;-;-;-
C80;Plátano verde sancochado;129;540;61.6;0.7;0.3;36.8;34.5;2.3;0.6;10;35;0.13;0.7;-;45;0.06;0.17;0.53;3.4;-;-;-
C81;Pomarosa;33;138;90.7;0.5;0.4;7.9;-;-;0.5;10;9;0.06;0.2;-;17;2;0.02;0.05;20.4;-;-;-
C82;Purunkari;151;632;58.1;2.7;1.4;36.3;-;-;1.5;96;39;-;2.8;-;10;0.03;0.06;1.46;5.6;-;-;-
C83;Sandia;23;96;93;0.7;0.1;5.9;5.5;0.4;0.3;6;5;0.1;0.3;-;28;0.06;0.04;0.18;3;-;-;-
C84;Shiwawaco (semilla);249;1041;39;6.6;7.5;45.5;-;-;1.4;45;179;-;2.7;-;-;0.02;0.08;1.07;10.6;-;-;-
C85;Tamarindo;221;925;31.4;2.8;0.6;62.5;57.4;5.1;2.7;74;113;0.1;1;-;2;0.43;0.15;1.94;3.5;-;-;-
C86;Mango ciruelo (taperibá);56;234;84.5;0.6;0.3;14.2;-;-;0.4;39;27;-;0.7;-;0;0.05;0.19;0.67;5.9;-;-;-
C87;Toronja;33;138;89.8;0.6;0.4;8.8;7.7;1.1;0.4;34;16;0.07;2;-;46;-;0.01;0.2;50.6;-;-;-
C88;Tumbo costeño;22;92;93.3;0.4;0;5.8;-;-;0.5;11;15;-;0.4;-;6;0.01;0.04;0.47;34.4;-;-;-
C89;Tumbo serrano sin cáscara;37;153;84.5;2.1;0.4;12.1;7.4;4.8;1;8;34;-;0.28;12;2;0.02;0.11;4.56;159.94;-;4;447
C90;Tuna;46;194;82.3;0.8;0;15.4;12.1;3.3;1.5;16;26;0.12;0.3;-;2;0.01;0.04;0.36;19.5;-;-;-
C91;Tuna roja;36;150;86.2;1.3;0.2;12.1;8.3;3.8;0.2;136;20;0.26;0.17;0;0;0.01;0.04;0.42;33.66;-;33;143
C92;Ungurauy;307;1284;41.7;2.8;21.1;33.6;-;-;0.8;65;16;-;0.9;-;8;0.06;0.68;-;0;-;-;-
C93;Uva blanca;40;168;87.8;0.3;0.2;11.3;10.4;0.9;0.4;5;20;0.07;0.8;-;3;0.03;0.03;0.11;1.4;-;-;-
C94;Uva borgoña;79;330;77;0.9;0.3;21.3;20.4;0.9;0.5;18;32;0.07;1.1;-;3;0.01;0.13;0.32;4.7;-;-;-
C95;Uva italia;63;262;81.1;0.4;0.1;17.7;16.8;0.9;0.7;19;28;0.07;0.5;-;3;0.03;0.1;0.24;2.8;-;-;-
C96;Uva negra;63;265;81.2;0.2;0.1;18.1;17.2;0.9;0.4;6;20;0.07;2.2;-;3;0.05;0.04;0.15;2.2;-;-;-
C97;Uva quebranta;66;276;81.4;0.5;0.1;17.7;-;-;0.3;14;11;-;0.4;-;0;0.05;0.07;0.11;0.7;-;-;-
C98;Uvilla;64;268;82.4;0.3;0.3;16.7;-;-;0.3;34;10;-;0.6;-;0;0;0.22;0.3;0.6;-;-;-
C99;Zapote;73;305;79.7;0.9;0.3;18.8;-;-;0.7;10;20;0.15;0.24;-;130;0.02;0.09;1.42;0.21;-;21;160
C100;Aguaymanto;51;213;79.8;1.9;0;17.3;12.4;4.9;1;11;38;0.4;1.24;2640;440;-;-;-;43.3;-;-;293
C101;Blanquillo;47;198;84.8;1;0.3;13.3;11.6;1.8;0.6;-;-;-;1.06;0;0;-;-;-;0.77;-;-;-
C102;Carambola;23;98;91.7;1;0.5;6.5;4.5;2;0.3;5;9;0.12;1.16;30;5;0.04;0.08;-;22.67;-;11;56
C103;Carambola, refresco cocido de;6;27;98.5;0.2;0.3;0.9;-;;0.1;-;-;-;-;-;-;-;-;-;4.12;-;-;-
C104;Carambola, refresco natural de;5;21;98.9;0.2;0.3;0.6;0.5;0;0.1;0;0;0;0.02;1;0;0;0;-;5.67;-;0;1
C105;Coco rallado;596;2494;3.9;7.4;66.8;19.5;3.3;16.2;2.4;23;170;-;-;-;-;-;-;2.1;-;-;101;688
C106;Cocona, jugo natural de;0;1;-;-;-;0.8;0.1;0.7;-;9;0;-;0.72;-;-;-;-;-;0;-;23;-
C107;Durazno, néctar envasado;6;24;96.8;0;0;3.1;1.4;1.7;0.1;-;-;-;0.05;-;-;-;-;-;5.35;-;7;37
C108;Granadilla, jugo natural;25;103;90.3;1.1;0.2;7.3;5.4;1.9;1.1;6;42;-;0.42;0;0;0.04;0.04;0.71;11.25;-;4;112
C109;Guindón*;215;899;30.9;2.2;0.4;63.9;56.8;7.1;2.6;43;69;0.44;0.93;-;39;0.05;0.19;1.88;1;0;2;732
C110;Kiwi, sin cáscara;39;161;85.6;2.9;0.3;10.6;7.3;3.2;0.6;51;30;0.17;0.37;14;2;0.04;0.03;0.6;86.76;0;21;220
C111;Limón dulce, sin cáscara;20;83;90.7;1.4;0.4;7.1;4.8;2.3;0.4;30;0;0.31;0.17;-;0;0.03;0.02;0.2;29.46;-;16;66
C112;Limón, néctar envasado;57;237;85.7;0;0;14.2;14.1;0.1;0.1;-;-;-;0.01;-;-;-;-;-;8.66;-;19;18
C113;Mango, néctar envasado;44;185;87.4;0;0;12.5;11;1.5;0.1;-;-;-;0.03;-;-;-;-;-;0.94;-;26;15
C114;Manzana chilena verde con cáscara;38;158;87.5;0.2;0.3;11.4;9.7;1.8;0.6;-;-;-;0.83;0;0;-;-;-;0.23;-;-;-
C115;Manzana delicia “helada” con cáscara;47;195;83.5;0.2;0.1;16;12.6;3.4;0.3;-;-;-;0.82;2;0;-;-;-;0.31;-;-;-
C116;Manzana delicia roja con cáscara;52;216;82.9;0.3;0.1;16.5;14;2.6;0.3;-;-;-;0.3;15;3;-;-;-;0.26;-;-;-
C117;Manzana israel con cáscara;40;165;86.5;0.4;0.1;12.9;10.5;2.4;0.2;-;-;-;0.41;8;1;-;-;-;0.3;-;-;-
C118;Manzana, jugo natural, envasado;43;180;-;-;-;11;10.7;0.3;-;13;20;-;0.49;-;-;-;-;-;0;-;13;-
C119;Manzana, néctar envasado;38;160;90.3;0;0;9.5;9.5;0.1;0.1;-;-;-;0.02;-;-;-;-;-;13.53;-;37;29
C120;Manzana pero con cáscara (para agua);31;130;85.6;0.3;0.1;13.8;8.3;5.5;0.3;-;-;-;0.51;2;0;-;-;-;0.31;-;-;-
C121;Manzana santa rosa (golden) con cáscara;53;221;82.3;0.2;0.1;17.3;14.4;2.8;0.2;-;-;-;0.43;11;2;-;-;-;1.02;-;-;-
C122;Manzana winter con cáscara;44;186;84.4;0.3;0.1;15;12;3.1;0.2;-;-;-;0.27;4;1;-;-;-;0.36;-;-;-
C123;Maracuyá, jugo natural, envasado;35;145;-;-;-;10;8.7;1.4;-;11;0;-;0.2;-;-;-;-;-;0;-;11;-
C124;Maracuyá, néctar envasado;9;37;97.6;0;0;2.3;2.1;0.2;0.1;-;-;-;0.02;-;-;-;-;-;24.05;-;27;15
C125;Naranja, bebida envasada;56;235;85.2;0;0;14.7;14;0.7;0.1;-;-;-;0.02;-;-;-;-;-;52.25;-;9;46
C126;Naranja, jugo natural, envasado;16;69;-;-;-;5;4.1;0.9;-;10;0;-;0.11;-;-;-;-;-;72.94;-;7;-
C127;Naranja, néctar envasado;43;179;-;-;-;12.3;10.7;1.6;-;6;0;-;0.38;-;-;-;-;-;17.92;-;29;-
C128;Naranja tangelo;24;98;91;1;0.2;7.4;5.2;2.2;0.4;-;-;-;0.63;38;6;-;-;-;11.74;-;-;-
C129;Naranja tangelo, jugo natural;16;69;93;0.7;0.2;5.9;3.5;2.4;0.3;-;-;-;0.26;22;4;-;-;-;9.16;-;-;-
C130;Naranjilla*;28;117;91.8;0.7;0.1;6.8;-;-;0.6;8;14;-;0.4;-;-;0.06;0.04;1.5;65;-;4;294
C131;Palta “fuerte”;104;436;69.7;1.9;8.9;17.1;6.5;10.6;2.4;11;60;0.63;0.49;75;13;0.07;0.13;1.74;3.82;0;21;430
C132;Papaya arequipeña;17;72;94.4;1;0.3;3.7;3.3;0.5;0.7;-;-;-;0.3;0;0;-;-;-;34.45;-;1;326
C133;Pera, néctar envasado;46;192;88.5;0;0;11.5;11.4;0;0.1;-;-;-;0.02;-;-;-;-;-;0.81;-;25;6
C134;Piña, bebida envasada;29;121;91.7;0;0;8.3;7.2;1.1;0;-;-;-;0.01;-;-;-;-;-;33.87;-;7;5
C135;Plátano “bellaco”;102;427;67.5;1.3;0.1;29.5;26.9;2.6;1.6;8;20;0.06;0.38;377;63;0.05;-;0.83;0;-;15;359
C136;Plátano “moquicho”;100;419;67.4;1.2;0.1;29.7;26.5;3.2;1.7;7;20;0.1;0.47;-;-;0.04;-;0.77;0;-;13;355
C137;Plátano palillo;105;440;66.8;0.9;0.3;31;27.8;3.2;1;6;20;0.23;0.04;270;45;0.07;0.07;9.63;1.25;-;20;356
C138;Plátano palillo maduro, harina de;293;1227;10.5;4.1;1.1;81.6;75.1;6.4;2.8;22;60;0.96;2;0;0;0.15;0.16;2.24;5.23;-;39;1263
C139;Plátano palillo verde, harina de;295;1233;11.2;3.3;0.2;83.2;78.3;4.9;2.1;9;60;0.4;0.1;0;0;0.14;0.13;7.72;1.74;-;33;912
C140;Sancayo;17;73;94;0.8;0.6;4;2.7;1.3;0.7;-;-;-;0.16;0;0;-;-;-;53.84;-;2;270
C141;Warr’a;102;427;71;1.5;0.2;26.4;-;-;0.9;51;26;-;3.4;-;-;0.02;0.11;0.58;2.8;-;-;-
D1;Aceite compuesto (vegetal 70% pescado 30%);884;3699;0;0;100;0;-;-;0;0;0;-;0;-;0;0;0;0;0;-;-;-
D2;Aceite de pescado, hidrogenado;884;3699;0;0;100;0;-;-;0;0;0;-;0;-;0;0;0;0;0;-;-;-
D3;Aceite vegetal de algodón;884;3699;0;0;100;0;0;0;0;0;0;0;0;-;0;0;0;0;0;-;-;-
D4;Aceite vegetal de girasol;884;3699;0;0;100;0;0;0;0;0;0;0;0;-;0;0;0;0;0;-;-;-
D5;Aceite vegetal de maíz;884;3699;0;0;100;0;0;0;0;0;0;0;0;-;0;0;0;0;0;-;-;-
D6;Aceite vegetal de maní;884;3699;0;0;100;0;0;0;0;0;0;0.01;0;-;0;0;0;0;0;-;-;-
D7;Aceite vegetal de olivo;884;3699;0;0;100;0;0;0;0;0;0;0;0;-;0;0;0;0;0;-;-;-
D8;Aceite vegetal de palma;884;3699;0;0;100;0;0;0;0;0;0;0;0;-;0;0;0;0;0;-;-;-
D9;Aceite vegetal de soya;884;3699;0;0;100;0;0;0;0;0;0;0;0;-;0;0;0;0;0;-;-;-
D10;Almendra;552;2308;5.1;23.4;54.1;14.3;4.4;9.9;3.2;195;440;3.12;3.72;-;0;0.2;0.56;4.17;0;-;1;580
D11;Avellana;497;2079;3.1;12.6;52.9;28.4;2.6;25.7;3.1;144;200;2.2;3.3;-;2;0.48;0.11;5.64;2;-;61;714
D12;Cacao, semillas secas;570;2387;3.6;12;46.3;34.7;-;-;3.4;106;537;-;3.6;-;0;0.17;0.14;1.7;3;-;-;-
D13;Castaña peruana (nuez de Brasil);646;2702;3.9;15.4;69;8.4;3.7;4.7;3.4;144;630;4.06;2.1;-;0;0.75;0.17;1.48;2.7;-;22;467
D14;Maní crudo, pelado con película;559;2339;7.3;24.1;48.2;17.7;9.2;8.5;2.7;66;231;3.27;1.5;-;0;0.48;0.53;17;1.3;-;-;-
D15;Maní sancochado;374;1565;32.3;15.9;27.5;21.9;13.1;8.8;2.4;47;219;1.83;3.6;-;0;0.18;0.1;8.88;0;-;-;-
D16;Maní tostado, sin película;590;2469;2;27.1;51;16.9;8.9;8;3;48;298;3.31;2.2;-;0;0.08;0.35;21.6;0;-;-;-
D17;Manteca de cerdo;879;3676;0.5;0;99.4;0;0;0;0.1;0;0;0.11;0;-;0;0;0;0;0;-;-;-
D18;Manteca vegetal;880;3699;0.1;0;99.5;0;0;0;0.4;0;0;0;0;-;0;0;0;0;0;-;-;-
D19;Mantequilla;729;3050;16;2;82;0;-;-;0;0;0;-;0;-;671;0;0;0;0;-;-;-
D20;Mantequilla con sal;717;3000;15.9;0.9;81.1;0.1;0.1;0;2.1;24;24;0.09;0.02;-;684;0;0.03;0.04;0;-;-;-
D21;Margarina vegetal con sal;720;3012;16;0.6;81;0.3;0.3;0;2.1;0;0;0;0;-;819;0;0;0;0;-;-;-
D22;Nuez;653;2731;3.8;16.9;69.1;8.3;3.8;4.5;1.8;86;280;3.09;-;-;1;0.34;0.15;2.48;1.3;-;3;383
D23;Cashú;572;2393;2.3;19.5;51.1;24.4;18.8;5.7;2.6;61;440;-;-;-;-;-;-;1.07;-;-;6;0
D24;Chía, semilla de;360;1507;7.7;23.4;32.5;31.8;1.7;30.1;4.6;478;725;-;-;-;-;-;-;3.2;17.16;-;3;635
D25;Linaza;428;1792;8.1;21;42.5;0;0;27.9;2.9;228;400;-;3.41;-;-;-;-;1.36;-;-;42;0
D26;Margarina, Astra de La Danesa 60% grasa vegetal;506;2117;34.9;0;57.2;0;-;-;2.4;-;-;-;-;-;-;-;-;-;-;-;1048;-
D27;Margarina, Dorina Batida al 70% de grasa;597;2498;25.8;0;67.6;0;-;-;2.6;-;-;-;-;-;-;-;-;-;-;-;762;-
D28;Margarina, Dorina Clásica al 70% de grasa;578;2420;26.5;0;65.4;0;-;-;2.4;-;-;-;-;-;-;-;-;-;-;-;861;-
D29;Margarina, Dorina Light al 50% de grasa;409;1710;44.7;0;46.2;0;-;-;2.1;-;-;-;-;-;-;-;-;-;-;-;711;-
D30;Margarina, La Danesa 70% de grasa vegetal;590;2469;24.5;0;66.8;0;-;-;3.1;-;-;-;-;-;-;-;-;-;-;-;1247;-
D31;Margarina, La Preferida 70% grasa;598;2502;24.6;0;67.6;0;-;-;3.1;-;-;-;-;-;-;-;-;-;-;-;1229;-
D32;Margarina, Manty 40% de grasa vegetal;325;1361;50.6;0;36.8;0;-;-;4.9;-;-;-;-;-;-;-;-;-;-;-;1790;-
D33;Margarina, Sello de Oro;607;2539;24.8;0;68.6;0;-;-;2.3;-;-;-;-;-;-;-;-;-;-;-;926;-
D34;Margarina, Swis Light;407;1704;44.8;0;46.1;0;-;-;2.2;-;-;-;-;-;-;-;-;-;-;-;864;-
D35;Margarina, Swis 60% de grasa;479;2002;36.6;0;54.1;0;-;-;2;-;-;-;-;-;-;-;-;-;-;-;800;-
D36;Ñuña;383;1604;4.4;20.2;13.1;58.8;50;8.8;3.5;60;320;-;-;-;-;-;-;1.53;-;-;26;139
D37;Pecana;670;2804;3.9;9.1;73.8;11.7;5.2;6.5;1.5;43;210;4.53;2.53;-;3;0.66;0.13;1.87;1;0;1;349
D38;Sacha Inchi tostado;572;2392;2.8;30.2;54.4;9.9;2.8;7.1;2.7;267;420;-;-;-;-;-;-;0.58;-;-;3;0
D39;Semilla de ajonjolí*;525;2195;4.7;17.7;49.7;23.5;11.7;11.8;4.5;975;629;7.75;14.55;-;0;0.79;0.25;4.51;0;0;11;468
D40;Semilla de ajonjoli negro;499;2087;5.4;18.9;51.3;18.9;0.9;17.9;5.6;995;630;-;-;-;-;-;-;5.86;-;-;3;456
D41;Semilla de girasol;585;2449;2.4;23.8;58.6;11.8;3;8.8;3.4;98;635;-;7.69;-;6;1.92;0.22;8.17;-;-;2;640
E1;Almeja blanca;71;299;82.4;14.4;1.1;0;-;-;4.9;40;600;-;76.9;-;-;0.18;2.4;-;0;-;-;-
E2;Aska (crustáceo), al estado natural;462;1934;8;56.6;19.4;11.1;-;-;4.8;42;578;-;75;-;-;0.23;3.04;-;0;-;-;-
E3;Aska, sometido a cocción (crustáceo);467;1954;8;56;20.3;10.9;-;-;1.5;108;95;-;0.2;0;-;0.01;0.21;0.85;8.6;-;-;-
E4;Barquillos;89;372;78.2;18.5;0.5;1.3;-;-;14.6;524;650;-;4.9;0;15;0.03;0.11;3.4;0;-;-;-
E5;Camaroncito seco (chino);247;1034;29.6;52.3;1.9;1.6;-;-;1.4;117;263;1.11;0.1;0;54;0.02;0.13;1.4;5.2;-;-;-
E6;Camarones frescos;88;370;78;17.8;0.2;2.6;-;-;3.3;108;175;4.3;0.82;0;-;0.16;0.08;2.8;2;-;1000;110
E7;Cangrejo;94;395;75.2;19.8;0.6;1.1;-;-;2;423;203;4.3;4.1;-;651;0.06;0.34;1.8;-;0;41;265
E8;Cangrejo cocido*;97;407;78.4;14.8;2.9;1.9;-;-;1.8;158;106;1.63;2;0;26;0.02;0.39;1.25;7.8;0;206;347
E9;Caracol;87;365;78.6;16.9;0.8;1.9;1.9;0;1.7;85;130;0.82;1.5;0;2;0.03;0.35;1.68;9;-;-;-
E10;Chanque, loco o tolina;104;434;74.3;21.9;0.3;1.8;-;-;2.2;119;206;1.6;5.05;0;48;0;0.82;2.05;5.4;-;-;-
E11;Choros;91;383;78.7;13;2.3;3.7;-;-;2.2;12;219;-;0.29;0;-;0.05;0.79;1.8;11.6;-;-;-
E12;Concha de abanico;92;385;78.2;15.9;1.8;1.9;-;-;2.3;59;366;-;0.7;0;-;0.06;0.42;6.1;5.7;-;-;-
E13;Erizo;147;613;72.1;16.3;7.9;1.4;-;-;1.1;89;-;-;2.03;0;-;-;-;-;-;-;-;-
E14;Langostino blanco;69;289;83.8;14.5;0.8;-;-;-;2.1;102;81;-;1.2;0;-;0.09;0.6;1.2;9.3;-;-;-
E15;Lapas;86;361;78.1;18.5;0.4;0.9;-;-;1.3;172;180;1.37;4.8;0;90;0.08;0.19;1.77;0.8;-;-;-
E16;Machas;130;544;69.5;23.2;1.3;4.7;-;-;16;559;379;-;2.5;0;-;0.16;0.89;-;1.2;-;-;-
E18;Pescado anchoveta;156;651;70.8;19.1;8.2;0;-;-;1.2;77;276;1.72;3.04;0;15;0.01;0.21;0;8.7;-;-;-
E19;Pescado atún, en conserva;181;756;65.3;22.9;9.9;-;-;-;1.9;-;-;-;-;0;-;-;-;-;-;-;-;-
E20;Pescado atún, enlatado en agua;116;485;72.5;25.5;0.8;-;-;-;1.5;11;163;0.77;1.53;0;17;0.03;0.07;13.28;0;-;-;-
E21;Pescado atún, enlatado en aceite;186;778;63;26.5;8.1;-;-;0;2.2;4;267;0.47;1.2;0;5;0.02;0.08;11.7;0;-;-;-
E22;Pescado atún, fresco;141;591;70.4;23.3;4.6;-;-;-;1.6;-;-;-;-;0;-;-;-;-;-;-;-;-
E23;Pescado ayanque o cachema;88;368;77.2;19.6;0.5;0;-;-;1.3;126;240;-;0.3;0;-;0.02;0.1;2.5;4.7;-;-;-
E24;Pescado bacalao fresco;82;343;80.2;17.8;0.7;-;-;0;1.2;16;203;0.45;0.4;0;12;0.08;0.06;2.06;1;-;-;-
E25;Pescado bacalao seco salado;290;1212;16.1;62.8;2.4;-;-;-;18.7;160;950;1.59;3.6;0;42;0.27;0.24;7.5;4;-;-;-
E26;Pescado bagre;80;335;80.9;15.2;1.7;-;-;-;2;34;113;0.51;1.9;0;15;0.05;0.09;1.55;0.7;-;-;-
E27;Pescado bonito;138;577;70.6;23.4;4.2;-;-;-;1.5;28;258;0.3;0.7;0;-;0.01;0.07;12.8;1.6;-;40;293
E28;Pescado bonito, huevera de;101;423;75.5;17.2;3;0;-;-;1.5;24;274;1;1.8;0;90;0.07;0.4;2.77;10.1;-;-;-
E29;Pescado bonito, músculo claro;113;474;73.4;23.8;1.3;-;-;-;1.4;24;-;-;0.51;0;-;-;-;-;-;-;-;-
E30;Pescado bonito, músculo oscuro;140;585;68.9;21.1;5.5;0;-;-;1.1;39;-;-;8.66;0;-;-;-;-;-;-;-;-
E31;Pescado bonito, pulpa asada;136;568;69.9;24;3.7;0;-;-;1.7;15;206;-;1;0;-;0.01;0.04;-;-;-;-;-
E32;Pescado bonito, seco salado;184;770;44;32.3;5.1;0;-;-;16.2;112;164;0.3;6.1;0;-;0.07;0.13;6.25;0;-;40;293
E33;Pescado boquichico, salado deshidratado;287;1199;24.3;47.9;9.1;0;-;-;16.5;458;477;-;4.8;0;-;0.32;0.17;-;1;-;-;-
E34;Pescado caballa, en conserva;225;942;60.1;24.8;14;-;-;-;1.2;-;-;-;-;0;-;-;-;-;-;-;-;-
E35;Pescado caballa, fresco;127;533;73.8;19.5;4.9;0;-;-;1.2;-;-;-;-;0;-;-;-;-;-;-;-;-
E36;Pescado caballa, salado;152;635;65.2;25.2;4.9;-;-;-;4.7;-;-;-;-;0;-;-;-;-;-;-;-;-
E37;Pescado cabinza;96;402;77.8;19.1;1.6;-;-;-;1.3;60;239;-;2.34;0;-;0.01;0.3;3.9;2.5;-;-;-
E38;Pescado cabrilla;96;400;77.9;18.6;1.8;-;-;-;1.2;16;-;-;0.74;0;-;-;-;-;-;-;-;-
E39;Pescado carachama;64;268;82.8;14.2;0.4;0;-;-;1;140;151;-;1.2;0;-;0.02;0.07;2.12;4.8;-;-;-
E40;Pescado cazón;98;410;75;21.8;0.5;0;-;-;1.4;108;206;0.5;2.6;0;-;0.02;0.08;3.4;3.4;-;-;-
E41;Pescado chita;88;368;78;19.8;0.4;-;-;-;1.5;22;209;-;1.3;0;-;0.09;0.04;5.3;1.8;-;-;-
E42;Pescado chita, huevera de;62;259;83.8;12.3;1;-;-;-;2.4;28;390;1;1.8;0;90;0.09;0.12;1.43;9.8;-;-;-
E43;Pescado chita, pulpa asada;99;414;75.1;21;1;0;-;-;1.7;22;170;-;1;0;-;0.09;0.09;-;1.6;-;-;-
E44;Pescado coco;99;414;78.7;17.4;2.7;-;-;-;1.1;93;-;-;0.31;0;-;-;-;-;-;-;-;-
E45;Pescado cojinova;103;430;75.6;20.7;1.6;0;-;-;1.4;16;247;-;1.11;0;-;0.09;0.06;0.1;4.9;-;-;-
E46;Pescado congrio;73;307;82.1;15.7;0.7;-;-;-;1.1;8;-;-;0;0;-;-;-;-;-;-;-;-
E47;Pescado corvina;124;519;72.6;19.5;4.5;0;-;0;1.4;57;182;0.42;1.1;0;18;0.08;0.11;2.9;1.5;-;-;-
E48;Pescado fuasaco, con espinas;72;301;79.5;16.3;0.3;0;-;-;1.3;645;225;-;1.3;0;-;0.01;0.03;1.2;2.2;-;-;-
E49;Pescado jurel, en conserva;127;531;67;23.2;3.8;0;-;-;3.5;-;-;-;-;0;-;-;-;-;-;-;-;-
E50;Pescado jurel, fresco;120;503;75;19.7;4;-;-;-;1.2;30;325;-;1.8;0;-;-;-;-;-;-;-;-
