CÓDIGO;NOMBRE DEL ALIMENTO;"Energía
<ENERC>";"Energía
<ENERC>";"Agua
<WATER>";"Proteínas
<PROCNT>";"Grasa 
total
<FAT>";"Carbohidratos
totales
<CHOCDF>";"Carbohidratos
disponibles
<CHOAVL>";"Fibra dietaria
<FIBTG>";"Cenizas
<ASH>";"Calcio
<CA>";"Fósforo
<P>";"Zinc
<ZN>";"Hierro
<FE>";"β caroteno
equivalentes
totales
<CARTBQ>";"Vitamina A 
equivalentes
totales
<VITA>";"Tiamina
<THIA>";"Riboflavina
<RIBF>";"Niacina
<NIA>";"Vitamina C
<VITC>";"Ácido 
fólico";"Sodio
<NA>";"Potasio
<K>"
;;kcal;kJ;g;g;g;g;g;g;g;mg;mg;mg;mg;µg;µg;mg;mg;mg;mg;µg;mg;mg
A142;Pasta sin fortificar, cruda*;360;1506;9.9;13;1.5;74.7;71.5;3.2;0.9;18;150;1.26;1.3;-;0;0.09;0.06;1.7;0;0;5;162
A143;Quinua, variedad real;331;1385;12.9;14.2;5.1;65.9;56.7;9.1;2;-;-;2.68;4;-;-;0.28;0.3;-;-;-;30;776
A144;Quinua, variedad Ayara (�uno);276;1156;12.3;14;6.3;62.6;41.1;21.5;4.8;-;-;-;6.25;-;-;-;-;-;-;-;30;776
A145;Quinua, variedad blanca de Juli (�uno);347;1453;10.2;11.6;4.8;70.6;63.7;6.9;2.8;-;-;-;4.32;-;-;-;-;-;-;-;30;776
A146;Quinua, variedad CICA-18 (Puno);345;1445;9.8;14.4;5.7;66.4;58.7;7.6;3.8;-;-;-;4.37;-;-;-;-;-;-;-;30;776
A147;Quinua, variedad CICA-127 (Puno);360;1506;8.9;15.8;5.2;67.1;62;5.1;3;-;-;-;5.81;-;-;-;-;-;-;-;30;776
A148;Quinua, variedad Cuchiwilla (Puno);317;1327;11.4;15.2;5.2;64.3;52.1;12.2;3.9;-;-;-;4.15;-;-;-;-;-;-;-;30;776
A149;Quinua, variedad Choclito (Puno);342;1430;11.7;13.4;5.2;67.1;59.9;7.2;2.7;-;-;-;4.49;-;-;-;-;-;-;-;30;776
A150;Quinua, variedad Chullpi- roja (Puno);330;1379;11.3;13.7;5.5;66.9;55.9;10.9;2.7;-;-;-;5.87;-;-;-;-;-;-;-;30;776
A151;Quinua, variedad Misa Jiura (Puno);349;1460;10.5;12.3;5.4;68.6;62.2;6.4;3.2;-;-;-;4;-;-;-;-;-;-;-;30;776
A152;Quinua, variedad Pasankalla-roja (Puno);355;1486;10.1;12.7;6.2;68.5;61.6;6.9;2.5;-;-;-;4.85;-;-;-;-;-;-;-;30;776
A153;Quinua, variedad Q’ OITU-negra (Puno);308;1288;11.5;11.6;4.9;68.2;53.9;14.3;3.8;-;-;-;11.53;-;-;-;-;-;-;-;30;776
A154;Quinua, variedad Wariponcho (Puno);347;1451;11.5;12.6;5.5;67.9;61.2;6.7;2.6;-;-;-;3.77;-;-;-;-;-;-;-;30;776
A155;Quinua, variedad Witulla (Puno);350;1464;9.9;13.7;5.9;67.8;60.2;7.7;2.8;-;-;-;4.99;-;-;-;-;-;-;-;30;776
A156;Rosquita de almidón de Iquitos;469;1962;3.3;1.8;18.3;74.2;-;-;2.3;-;-;-;2.3;-;-;0.03;0.09;0.89;-;26;-;-
A157;Siete harinas (trigo, habas, arvejas, kiwicha, cañihua, cebada, quinua);347;1453;1.5;8.8;3.2;84.8;70.8;14.1;1.6;-;-;3.15;3.89;-;-;-;-;-;-;-;-;-
A158;Trigo, hojuela de (chaque);322;1346;16;10;2.5;70.2;-;-;1.4;-;-;2.23;2.1;-;-;-;-;-;-;-;-;-
A159;Trigo sin tostar (chaquepa);338;1416;11.9;7;2.2;77.9;-;-;0.9;-;-;1.71;2.43;-;-;-;-;-;-;-;-;-
A160;Trigo tostado (chaquepa);369;1545;3.9;7.6;2.5;84.9;-;-;1.1;-;-;1.44;1.73;-;-;-;-;-;-;-;-;-
